name,geoid,state_name,county_name,population,population_density_sq_mi,median_household_income,hhs_total,race_and_ethnicity_total,age_total,median_age,educational_attainment_population_25_years_and_over,educational_attainment_bachelors,DUMMYBachelors,educational_attainment_graduate,family_households_total,family_poverty_pct,unemployment_pct,housing_units,median_value_of_owner_occupied_units,households,
Acalanes Ridge CDP,16000US0600135,California,Contra Costa,1134,2461.8,-1,410,1134,1134,44.8,773,0.525,1,0.301,373,0.064,0.065,410,1071200,410,
Acampo CDP,16000US0600156,California,San Joaquin,204,217.6,143070,88,204,204,72.1,153,0.105,0,0.176,88,0,0,88,-1,88,
Acton CDP,16000US0600212,California,Los Angeles,7232,184.2,97857,2584,7232,7232,49.2,5366,0.202,0,0.071,1955,0.046,0.051,2845,559600,2584,
Adelanto city,16000US0600296,California,San Bernardino,33660,636.2,45380,7695,33660,33660,27.5,18104,0.043,0,0.016,6455,0.249,0.129,8322,195800,7695,
Adin CDP,16000US0600310,California,Modoc,171,49.8,57625,78,171,171,58.1,129,0.163,0,0.171,41,0.195,0.2,123,130500,78,
Agoura Hills city,16000US0600394,California,Los Angeles,20533,2632.2,122998,7377,20533,20533,44.4,14583,0.374,1,0.221,5482,0.038,0.046,7779,815000,7377,
Agua Dulce CDP,16000US0600450,California,Los Angeles,3742,163.8,106875,1118,3742,3742,46.1,2698,0.182,0,0.092,901,0.064,0.042,1228,634500,1118,
Aguanga CDP,16000US0600464,California,Riverside,805,59.2,77857,300,805,805,46.3,563,0.165,0,0.023,268,0.112,0,570,-1,300,
Ahwahnee CDP,16000US0600478,California,Madera,2513,250.7,71336,869,2513,2513,50.7,1951,0.211,0,0.044,635,0.03,0.109,1092,312300,869,
Airport CDP,16000US0600535,California,Stanislaus,1479,2575.7,29489,486,1479,1479,29.8,905,0.044,0,0,280,0.261,0.24,500,166800,486,
Alameda city,16000US0600562,California,Alameda,78522,7515,104756,30418,78522,78522,40.6,57946,0.341,1,0.206,18998,0.059,0.036,32346,859900,30418,
Alamo CDP,16000US0600618,California,Contra Costa,14905,1540.8,239545,5156,14905,14905,49.7,10634,0.467,1,0.275,4310,0.02,0.018,5560,1670500,5156,
Albany city,16000US0600674,California,Alameda,19804,11069.9,95400,7444,19804,19804,36.5,13576,0.325,1,0.404,5272,0.067,0.035,7850,882500,7444,
Albion CDP,16000US0600716,California,Mendocino,254,139.9,-1,55,254,254,22.1,104,0,0,0.288,0,0,0.109,55,-1,55,
Alderpoint CDP,16000US0600786,California,Humboldt,156,64.3,38787,59,156,156,53.4,156,0,0,0,34,0,0,59,337200,59,
Alhambra Valley CDP,16000US0600898,California,Contra Costa,783,585.1,151125,273,783,783,48.1,539,0.299,1,0.241,197,0,0.032,273,936500,273,
Alhambra city,16000US0600884,California,Los Angeles,84647,11092.5,61384,29771,84647,84647,40.9,63207,0.237,0,0.118,20432,0.095,0.043,31719,612700,29771,
Aliso Viejo city,16000US0600947,California,Orange,50663,7321.9,112689,18515,50663,50663,37.8,34256,0.369,1,0.193,12800,0.028,0.037,19607,632900,18515,
Alleghany CDP,16000US0600982,California,Sierra,78,223.4,-1,47,78,78,59.6,78,0,0,0,25,0,0,71,-1,47,
Allendale CDP,16000US0600996,California,Solano,1388,226.2,121081,496,1388,1388,54.4,1063,0.202,0,0.095,406,0,0.04,530,593100,496,
Allensworth CDP,16000US0601010,California,Tulare,575,185.3,33214,136,575,575,25.5,296,0.014,0,0,98,0.398,0.211,150,108300,136,
Almanor CDP,16000US0601094,California,Plumas,0,0,-1,0,0,0,-1,0,0,0,0,0,0,0,99,-1,0,
Alondra Park CDP,16000US0601150,California,Los Angeles,8272,7475.3,61865,2692,8272,8272,36.5,5563,0.213,0,0.047,1929,0.129,0.053,2916,584000,2692,
