name,geoid,state_name,county_name,land_area (sqmtrs),population,population_density_sq_mi,median_household_income,hhs_total,hhi_lt_25k,hhi_25k_to_49k,hhi_50k_to_749k,hhi_75k_to_999k,hhi_100k_to_1490k,hhi_150k_to_1999k,hhi_200k_or_more,race_and_ethnicity_total,race_and_ethnicity_white,race_and_ethnicity_black,race_and_ethnicity_native,race_and_ethnicity_asian,race_and_ethnicity_islander,race_and_ethnicity_other,race_and_ethnicity_two,race_and_ethnicity_hispanic,age_total,age_female_0_to_9,age_female_10_to_19,age_female_20_to_29,age_female_30_to_39,age_female_40_to_49,age_female_50_to_59,age_female_60_to_69,age_female_70_plus,age_male_0_to_9,age_male_10_to_19,age_male_20_to_29,age_male_30_to_39,age_male_40_to_49,age_male_50_to_59,age_male_60_to_69,age_male_70_plus,median_age,educational_attainment_population_25_years_and_over,educational_attainment_no_diploma,educational_attainment_high_school,educational_attainment_some_college,educational_attainment_bachelors,DUMMYBachelors,educational_attainment_graduate,family_households_total,family_poverty_pct,employment_status_civilian_labor_force,unemployment_pct,housing_units,median_value_of_owner_occupied_units,households,
Acalanes Ridge CDP,16000US0600135,California,Contra Costa,1193072,1134,2461.8,-1,410,24,84,104,0,19,47,132,1134,1058,0,0,35,0,0,19,22,1134,59,70,0,50,173,27,110,18,95,137,0,29,164,72,96,34,44.8,773,0,0,0.173,0.525,1,0.301,373,0.064,566,0.065,410,1071200,410,
Acampo CDP,16000US0600156,California,San Joaquin,2428474,204,217.6,143070,88,0,16,0,0,72,0,0,204,184,0,0,0,0,0,0,20,204,0,0,0,28,0,0,0,57,51,0,0,15,0,0,0,53,72.1,153,0,0.373,0.346,0.105,0,0.176,88,0,43,0,88,-1,88,
Acton CDP,16000US0600212,California,Los Angeles,101679344,7232,184.2,97857,2584,292,387,330,331,455,340,449,7232,5383,38,0,170,0,0,131,1510,7232,360,497,252,288,479,860,612,244,296,379,523,245,391,821,666,319,49.2,5366,0.056,0.218,0.453,0.202,0,0.071,1955,0.046,3612,0.051,2845,559600,2584,
Adelanto city,16000US0600296,California,San Bernardino,137024204,33660,636.2,45380,7695,1887,2260,1601,850,725,203,169,33660,3982,5972,8,538,49,28,929,22154,33660,2922,3005,2169,2398,1983,1488,1084,524,3458,3584,2696,2968,2298,1503,1133,447,27.5,18104,0.336,0.284,0.321,0.043,0,0.016,6455,0.249,11935,0.129,8322,195800,7695,
Adin CDP,16000US0600310,California,Modoc,8901691,171,49.8,57625,78,15,19,24,0,20,0,0,171,119,0,39,0,0,0,11,2,171,10,31,0,9,15,4,18,26,0,0,1,0,8,11,17,21,58.1,129,0.016,0.465,0.186,0.163,0,0.171,41,0.195,55,0.2,123,130500,78,
Agoura Hills city,16000US0600394,California,Los Angeles,20203991,20533,2632.2,122998,7377,538,775,780,848,1374,1039,2023,20533,15265,449,0,1772,0,90,790,2167,20533,1118,1303,1039,1231,1551,1889,1190,1189,954,1366,1048,1129,1506,1608,1405,1007,44.4,14583,0.033,0.122,0.249,0.374,1,0.221,5482,0.038,10814,0.046,7779,815000,7377,
Agua Dulce CDP,16000US0600450,California,Los Angeles,59181142,3742,163.8,106875,1118,160,127,153,107,173,152,246,3742,2672,0,103,91,0,0,32,844,3742,227,261,128,257,210,342,230,195,149,225,270,217,178,326,312,215,46.1,2698,0.105,0.188,0.433,0.182,0,0.092,901,0.064,1772,0.042,1228,634500,1118,
Aguanga CDP,16000US0600464,California,Riverside,35222110,805,59.2,77857,300,42,93,13,70,14,0,68,805,606,25,0,0,0,0,48,126,805,24,55,18,77,37,109,18,70,83,62,35,12,34,70,18,83,46.3,563,0.057,0.337,0.417,0.165,0,0.023,268,0.112,396,0,570,-1,300,
Ahwahnee CDP,16000US0600478,California,Madera,25961479,2513,250.7,71336,869,77,137,250,165,111,66,63,2513,2257,0,0,0,0,0,22,234,2513,46,78,135,54,119,256,181,186,173,31,443,30,66,149,255,311,50.7,1951,0.027,0.289,0.43,0.211,0,0.044,635,0.03,1325,0.109,1092,312300,869,
Airport CDP,16000US0600535,California,Stanislaus,1487227,1479,2575.7,29489,486,208,121,49,84,24,0,0,1479,234,18,0,0,0,0,6,1221,1479,82,50,100,127,158,57,29,11,232,94,184,149,74,71,61,0,29.8,905,0.344,0.365,0.248,0.044,0,0,280,0.261,684,0.24,500,166800,486,
