name,geoid,state_name,county_name,land_area (sqmtrs),population,population_density_sq_mi,median_household_income,hhs_total,hhi_lt_25k,hhi_25k_to_49k,hhi_50k_to_749k,hhi_75k_to_999k,hhi_100k_to_1490k,hhi_150k_to_1999k,hhi_200k_or_more,race_and_ethnicity_total,race_and_ethnicity_white,race_and_ethnicity_black,race_and_ethnicity_native,race_and_ethnicity_asian,race_and_ethnicity_islander,race_and_ethnicity_other,race_and_ethnicity_two,race_and_ethnicity_hispanic,age_total,age_female_0_to_9,age_female_10_to_19,age_female_20_to_29,age_female_30_to_39,age_female_40_to_49,age_female_50_to_59,age_female_60_to_69,age_female_70_plus,age_male_0_to_9,age_male_10_to_19,age_male_20_to_29,age_male_30_to_39,age_male_40_to_49,age_male_50_to_59,age_male_60_to_69,age_male_70_plus,median_age,educational_attainment_population_25_years_and_over,educational_attainment_no_diploma,educational_attainment_high_school,educational_attainment_some_college,educational_attainment_bachelors,educational_attainment_graduate,family_households_total,family_poverty_pct,employment_status_civilian_labor_force,unemployment_pct,housing_units,median_value_of_owner_occupied_units,households,
Acalanes Ridge CDP,16000US0600135,California,Contra Costa,"1,193,072","1,134","2,461.80",-$1,410,24,84,104,0,19,47,132,"1,134","1,058",0,0,35,0,0,19,22,"1,134",59,70,0,50,173,27,110,18,95,137,0,29,164,72,96,34,44.8,773,0.00%,0.00%,17.30%,52.50%,30.10%,373,6.40%,566,6.50%,410,"$1,071,200",410,
Acampo CDP,16000US0600156,California,San Joaquin,"2,428,474",204,217.6,"$143,070",88,0,16,0,0,72,0,0,204,184,0,0,0,0,0,0,20,204,0,0,0,28,0,0,0,57,51,0,0,15,0,0,0,53,72.1,153,0.00%,37.30%,34.60%,10.50%,17.60%,88,0.00%,43,0.00%,88,-$1,88,
Acton CDP,16000US0600212,California,Los Angeles,"101,679,344","7,232",184.2,"$97,857","2,584",292,387,330,331,455,340,449,"7,232","5,383",38,0,170,0,0,131,"1,510","7,232",360,497,252,288,479,860,612,244,296,379,523,245,391,821,666,319,49.2,"5,366",5.60%,21.80%,45.30%,20.20%,7.10%,"1,955",4.60%,"3,612",5.10%,"2,845","$559,600","2,584",
Adelanto city,16000US0600296,California,San Bernardino,"137,024,204","33,660",636.2,"$45,380","7,695","1,887","2,260","1,601",850,725,203,169,"33,660","3,982","5,972",8,538,49,28,929,"22,154","33,660","2,922","3,005","2,169","2,398","1,983","1,488","1,084",524,"3,458","3,584","2,696","2,968","2,298","1,503","1,133",447,27.5,"18,104",33.60%,28.40%,32.10%,4.30%,1.60%,"6,455",24.90%,"11,935",12.90%,"8,322","$195,800","7,695",
Adin CDP,16000US0600310,California,Modoc,"8,901,691",171,49.8,"$57,625",78,15,19,24,0,20,0,0,171,119,0,39,0,0,0,11,2,171,10,31,0,9,15,4,18,26,0,0,1,0,8,11,17,21,58.1,129,1.60%,46.50%,18.60%,16.30%,17.10%,41,19.50%,55,20.00%,123,"$130,500",78,
Agoura Hills city,16000US0600394,California,Los Angeles,"20,203,991","20,533","2,632.20","$122,998","7,377",538,775,780,848,"1,374","1,039","2,023","20,533","15,265",449,0,"1,772",0,90,790,"2,167","20,533","1,118","1,303","1,039","1,231","1,551","1,889","1,190","1,189",954,"1,366","1,048","1,129","1,506","1,608","1,405","1,007",44.4,"14,583",3.30%,12.20%,24.90%,37.40%,22.10%,"5,482",3.80%,"10,814",4.60%,"7,779","$815,000","7,377",
Agua Dulce CDP,16000US0600450,California,Los Angeles,"59,181,142","3,742",163.8,"$106,875","1,118",160,127,153,107,173,152,246,"3,742","2,672",0,103,91,0,0,32,844,"3,742",227,261,128,257,210,342,230,195,149,225,270,217,178,326,312,215,46.1,"2,698",10.50%,18.80%,43.30%,18.20%,9.20%,901,6.40%,"1,772",4.20%,"1,228","$634,500","1,118",
Aguanga CDP,16000US0600464,California,Riverside,"35,222,110",805,59.2,"$77,857",300,42,93,13,70,14,0,68,805,606,25,0,0,0,0,48,126,805,24,55,18,77,37,109,18,70,83,62,35,12,34,70,18,83,46.3,563,5.70%,33.70%,41.70%,16.50%,2.30%,268,11.20%,396,0.00%,570,-$1,300,
Ahwahnee CDP,16000US0600478,California,Madera,"25,961,479","2,513",250.7,"$71,336",869,77,137,250,165,111,66,63,"2,513","2,257",0,0,0,0,0,22,234,"2,513",46,78,135,54,119,256,181,186,173,31,443,30,66,149,255,311,50.7,"1,951",2.70%,28.90%,43.00%,21.10%,4.40%,635,3.00%,"1,325",10.90%,"1,092","$312,300",869,
Airport CDP,16000US0600535,California,Stanislaus,"1,487,227","1,479","2,575.70","$29,489",486,208,121,49,84,24,0,0,"1,479",234,18,0,0,0,0,6,"1,221","1,479",82,50,100,127,158,57,29,11,232,94,184,149,74,71,61,0,29.8,905,34.40%,36.50%,24.80%,4.40%,0.00%,280,26.10%,684,24.00%,500,"$166,800",486,
Alameda city,16000US0600562,California,Alameda,"27,062,002","78,522","7,515.00","$104,756","30,418","3,566","3,726","3,988","3,383","5,756","4,088","5,911","78,522","33,539","5,654",204,"23,491",269,369,"4,945","10,051","78,522","4,695","3,744","4,325","6,017","6,360","5,215","5,314","4,613","4,564","3,902","5,124","6,011","5,852","4,851","4,400","3,535",40.6,"57,946",9.00%,11.70%,24.70%,34.10%,20.60%,"18,998",5.90%,"42,734",3.60%,"32,346","$859,900","30,418",
Alamo CDP,16000US0600618,California,Contra Costa,"25,053,990","14,905","1,540.80","$239,545","5,156",268,161,326,355,534,594,"2,918","14,905","11,949",43,8,"1,299",10,83,476,"1,037","14,905",574,"1,080",350,353,"1,135","1,363","1,018","1,260",726,"1,343",607,306,"1,026","1,076","1,308","1,380",49.7,"10,634",1.30%,4.70%,19.70%,46.70%,27.50%,"4,310",2.00%,"6,532",1.80%,"5,560","$1,670,500","5,156",
Albany city,16000US0600674,California,Alameda,"4,633,477","19,804","11,069.90","$95,400","7,444",838,"1,070",944,996,"1,027",956,"1,613","19,804","8,733",580,126,"5,755",84,359,"1,194","2,973","19,804","1,275","1,305","1,220","1,597","1,578","1,258","1,090",747,"1,487","1,309","1,302","1,419","1,761","1,016",780,660,36.5,"13,576",5.20%,7.40%,14.50%,32.50%,40.40%,"5,272",6.70%,"10,481",3.50%,"7,850","$882,500","7,444",
Albion CDP,16000US0600716,California,Mendocino,"4,701,873",254,139.9,-$1,55,0,25,0,0,0,30,0,254,115,0,0,44,37,0,25,33,254,0,51,22,0,0,25,0,0,0,43,38,2,3,40,0,30,22.1,104,2.90%,38.50%,29.80%,0.00%,28.80%,0,0.00%,119,10.90%,55,-$1,55,
Alderpoint CDP,16000US0600786,California,Humboldt,"6,288,254",156,64.3,"$38,787",59,12,34,0,13,0,0,0,156,112,0,0,0,0,0,13,31,156,0,0,40,0,13,43,0,0,0,0,0,0,13,47,0,0,53.4,156,7.70%,38.50%,53.80%,0.00%,0.00%,34,0.00%,13,0.00%,59,"$337,200",59,
Alhambra Valley CDP,16000US0600898,California,Contra Costa,"3,465,844",783,585.1,"$151,125",273,33,0,33,28,38,44,97,783,661,0,0,0,0,0,69,53,783,36,108,36,16,63,81,37,80,18,69,8,32,55,28,52,64,48.1,539,1.30%,16.50%,28.20%,29.90%,24.10%,197,0.00%,412,3.20%,273,"$936,500",273,
Alhambra city,16000US0600884,California,Los Angeles,"19,764,227","84,647","11,092.50","$61,384","29,771","6,240","5,880","5,026","3,340","5,134","2,016","2,135","84,647","7,501","1,717",245,"43,080",211,150,"1,332","30,411","84,647","3,798","3,679","5,922","6,086","6,243","6,396","5,163","6,255","4,116","4,146","7,161","6,088","5,299","5,671","4,348","4,276",40.9,"63,207",17.10%,23.60%,23.80%,23.70%,11.80%,"20,432",9.50%,"44,555",4.30%,"31,719","$612,700","29,771",
Aliso Viejo city,16000US0600947,California,Orange,"17,921,220","50,663","7,321.90","$112,689","18,515","1,519","1,777","2,021","2,445","4,356","3,002","3,395","50,663","29,812","1,167",83,"7,824",44,152,"2,392","9,189","50,663","3,672","3,364","3,041","3,800","4,270","4,160","2,351","1,799","3,386","3,217","2,985","3,636","4,183","3,798","1,962","1,039",37.8,"34,256",3.60%,10.40%,29.70%,36.90%,19.30%,"12,800",2.80%,"29,873",3.70%,"19,607","$632,900","18,515",
Alleghany CDP,16000US0600982,California,Sierra,"904,298",78,223.4,-$1,47,22,25,0,0,0,0,0,78,78,0,0,0,0,0,0,0,78,0,0,0,0,0,47,0,0,0,0,0,0,0,0,31,0,59.6,78,0.00%,71.80%,28.20%,0.00%,0.00%,25,0.00%,25,0.00%,71,-$1,47,
Allendale CDP,16000US0600996,California,Solano,"15,892,906","1,388",226.2,"$121,081",496,8,26,70,79,165,81,67,"1,388","1,090",195,0,0,0,0,0,103,"1,388",96,13,88,26,81,119,180,79,48,98,90,30,49,161,157,73,54.4,"1,063",4.50%,25.00%,40.70%,20.20%,9.50%,406,0.00%,746,4.00%,530,"$593,100",496,
Allensworth CDP,16000US0601010,California,Tulare,"8,035,084",575,185.3,"$33,214",136,50,45,18,17,6,0,0,575,0,15,0,2,0,0,2,556,575,42,41,58,26,42,23,10,7,60,59,54,42,47,23,20,21,25.5,296,73.60%,14.50%,10.50%,1.40%,0.00%,98,39.80%,246,21.10%,150,"$108,300",136,
Almanor CDP,16000US0601094,California,Plumas,"2,287,751",0,0,-$1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0.00%,0.00%,0.00%,0.00%,0.00%,0,0.00%,0,0.00%,99,-$1,0,
Alondra Park CDP,16000US0601150,California,Los Angeles,"2,866,016","8,272","7,475.30","$61,865","2,692",516,562,611,258,373,244,128,"8,272","1,597",490,0,"1,335",79,0,199,"4,572","8,272",448,491,510,502,574,367,397,488,669,607,821,524,633,529,437,275,36.5,"5,563",29.50%,17.70%,26.70%,21.30%,4.70%,"1,929",12.90%,"4,432",5.30%,"2,916","$584,000","2,692",
